geneName	family
EOY27383	3
EOY30137	3
EOY00940	3
EOY17457	3
EOY28430	10
EOX96088	10
EOX93335	10
EOY22594	10
EOY22253	11
EOY04431	11
EOY00261	11
EOY02196	11
EOX99485	11
EOY27479	11
EOY27153	11
EOY19406	11
EOY02407	11
EOX98782	23
EOY11367	23
EOY11368	23
EOY21335	23
EOX93509	24
EOX91401	24
EOX95739	24
EOY16621	24
EOY09679	24
EOY11075	24
EOX98064	24
EOY03563	24
EOY27823	24
EOX93881	24
EOY14251	24
EOY32023	24
EOY00226	24
EOX94498	24
EOY24222	24
EOY21867	24
EOY32273	24
EOY19147	24
EOX98404	24
EOY12826	24
EOY32644	24
EOX99576	24
EOY29050	24
EOY19053	24
EOY16592	24
EOY31976	24
EOY04173	24
EOY27915	24
EOY02035	24
EOY03520	24
EOX98930	24
EOY22663	24
EOY33923	24
EOX95096	24
EOY33964	24
EOY28918	24
EOX91054	24
EOY32622	24
EOX99930	24
EOY02148	24
EOY28063	24
EOY30986	24
EOY05246	24
EOY26401	24
EOX97578	24
EOY13811	24
EOY32670	24
EOY10978	24
EOY30512	24
EOX99645	24
EOY23498	24
EOY29642	24
EOY21826	24
EOY22476	24
EOY17416	24
EOX92237	24
EOX90979	24
EOY06374	24
EOY07672	24
EOY02924	24
EOY05512	24
EOX97730	24
EOY05750	24
EOY04804	24
EOX98269	24
EOX93207	24
EOY25611	24
EOY03609	24
EOY09303	24
EOY09401	24
EOY07940	24
EOY15161	24
EOX95012	24
EOY16968	24
EOX91375	24
EOY31480	24
EOY21836	24
EOX97699	24
EOY03567	24
EOY01069	24
EOX96064	24
EOY30922	24
EOX92796	24
EOY27956	24
EOY23352	24
EOY01788	24
EOY05712	24
EOY23065	24
EOY14256	24
EOY29285	24
EOX91026	24
EOX92024	24
EOX91779	24
EOY09887	24
EOY26070	24
EOX99344	24
EOX91771	24
EOY33968	24
EOY11721	24
EOY06239	24
EOY15538	24
EOY19262	24
EOY32495	24
EOY06179	24
EOY05819	24
EOY23398	24
EOY03472	24
EOY11630	24
EOY03540	24
EOY22699	24
EOY11777	24
EOY03390	24
EOY30687	24
EOY32615	24
EOY21925	24
EOY16597	24
EOY12146	24
EOY33313	24
EOY32936	24
EOY26299	24
EOY09720	24
EOY06911	24
EOY01760	24
EOY09326	24
EOY10719	24
EOY01550	24
EOY09050	24
EOX93021	24
EOY09680	24
EOY25899	24
EOY30938	24
EOX97561	24
EOY09979	24
EOY26599	24
EOY33477	24
EOY21263	24
EOY03861	24
EOX96821	24
EOX95636	24
EOY33969	24
EOY11702	24
EOY29055	24
EOX92278	24
EOY02945	24
EOY06182	24
EOY28177	24
EOY08235	24
EOY16504	24
EOY25948	24
EOX99670	24
EOY15113	24
EOY05698	24
EOY04216	24
EOY01136	24
EOX96228	24
EOY02469	24
EOX91314	24
EOY33741	24
EOY28826	24
EOY25365	24
EOX96826	24
EOY08282	24
EOY11964	24
EOX97822	24
EOY03681	24
EOY11186	24
EOY05877	24
EOY05127	24
EOY20703	24
EOY11338	24
EOY03349	24
EOY10376	24
EOY10338	24
EOY08063	24
EOY29507	24
EOY16505	24
EOY17244	24
EOY24840	24
EOX93464	24
EOY22999	24
EOX99095	24
EOY14284	24
EOY08375	24
EOX94627	24
EOY25883	24
EOY27215	24
EOX93714	24
EOY04983	24
EOX98065	24
EOY25237	24
EOY23172	24
EOY02331	24
EOX95475	24
EOY24832	24
EOY32979	24
EOY01787	24
EOY14468	24
EOY23620	24
EOY32165	24
EOY00090	24
EOX91580	24
EOX98874	24
EOY24091	24
EOY17313	24
EOY07667	24
EOY09864	24
EOY01970	24
EOY27640	24
EOY31043	24
EOX92076	24
EOY20071	24
EOY21766	24
EOY19557	24
EOY14017	24
EOY06472	24
EOY01914	24
EOY22551	24
EOX94157	24
EOX93361	24
EOX96932	24
EOY24327	24
EOY14874	24
EOX95911	24
EOY09292	24
EOX92590	24
EOY05619	24
EOY12237	24
EOY33495	24
EOY24092	24
EOY16503	24
EOY16117	24
EOY33314	24
EOY17126	24
EOY30508	24
EOY08299	24
EOY03311	24
EOX98248	24
EOX91823	24
EOY17079	24
EOY17085	24
EOY11207	24
EOY28251	24
EOY03376	31
EOX98476	31
EOX91677	31
EOY15724	31
EOY31905	31
